,question,model_prediction,ground_truth
10,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.2.2 state exactly? Answer with only the text of the rule and no other words.," Team Fabrication - No Inspection Required
    ","Visibility
a. The driver must have sufficient visibility to the front and sides of the vehicle
b. When seated in a normal driving position, the driver must have a minimum field of vision
of 100° to both sides
c. If mirrors are required for this rule, they must remain in place and adjusted to enable the
required visibility throughout all dynamic events."
11,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.1.1 state exactly? Answer with only the text of the rule and no other words.,"3.1.1.3 Driving and Accumulator Maintenance  
Driving the vehicle while the Accumulator is connected to the vehicle is prohibited.  
Driving the vehicle while the Accumulator is not connected to the vehicle is allowed, but only for the 
purpose of connecting the Accumulator to the vehicle.  
Driving the vehicle while carrying the Accumulator is prohibited.  
Driving the vehicle while carrying the Accumulator Handling Equipment is allowed.  
Driving the vehicle while carrying any other equipment related to the Accumulator is prohibited.  
Driving the vehicle while carrying any other equipment is allowed.  
Driving the vehicle while carrying any other equipment is allowed, provided that the equipment does 
not obstruct the driver’s view or interfere with the steering, braking or acceleration of the 
vehicle.
```
. . .  14 
V.2 DRIVER  
V.2.1 Driver Attire  
Drive side drivers must wear:  
• Clothing that is similar to Formula S","The vehicle must have a fully operational suspension system with shock absorbers, front and
rear, with usable minimum wheel travel of 50 mm, with a driver seated."
12,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.1.2 state exactly? Answer with only the text of the rule and no other words.,"3.1.2 Stability and Control 
a. The vehicle must demonstrate a high degree of stability and control during operation.
This will involve a series of maneuvers at high speeds on a paved track.
The driver will perform a series of high speed slaloms, both forwards and backwards,
and make tight turns at high speeds.  
b. These maneuvers will be evaluated based on the vehicle’s stability and control.  
The vehicle will receive a lower score for each loss of control or failure to complete 
the maneuvers in a satisfactory manner.  
The driver will also be evaluated on his ability to perform these maneuvers in a 
professional and controlled manner.  
The vehicle may not be driven at high speeds on the paved track unless authorized by 
the officials.
```
. • The driver must always have control of the vehicle.  
• The driver must always be able to steer, brake and accelerate the vehicle.  
• The vehicle must always be under control.  
• The driver must always be able to stop or slow the vehicle in a safe manner.  
","Officials may disqualify vehicles which do not represent a serious attempt at an operational
suspension system, or which demonstrate handling inappropriate for an autocross circuit."
13,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.1.3 state exactly? Answer with only the text of the rule and no other words.,"3.1.3 Dynamic Testing - Dynamic Testing must be conducted in 2nd gear for all wheels.
a. Accelerate from a stand still to approximately 60 mph.
b. Accelerate from a stand still to approximately 120 mph.
c. Decelerate from approximately 120 mph to a stop in approximately 30 meters.
d. Decelerate from a speed of approximately 60 mph to a stop in approximately 30 meters.
e. Any other dynamic tests deemed necessary by the judges.  
Note: 235 points are awarded for passing Dynamic Testing.  
GR.9.1.4  Driving Practice Sessions - The organizer may offer driving practice sessions. These are not required to be available at the event at which the vehicle 
is presented for judging.  
GR.9.2  Faculty Advisor - Each entry must have a Faculty Advisor , who is a person with a degree in a field of engineering or from the 
academic institution from which the team is from.
GR.9.","All suspension mounting points must be visible at Technical Inspection by direct view or by
removing any covers."
14,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.1.4 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Event Officer will conduct an Inspection of the vehicles on the dynamic course.
    ","Fasteners in the Suspension system are Critical Fasteners, see T.8.2"
15,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.1.5 state exactly? Answer with only the text of the rule and no other words.,"3.1.5 Pressure Testing
a. Each component or assembly that is welded must pass the pressure test as specified in this section.
The test pressure must be high enough to simulate the maximum expected pressure in the area of the weld.
The test pressure must be at least 110% of the yield strength of the material.
b. The weld must be visually inspected for porosity and other defects.
c. The weld must be tested for leaks using a high pressure air gun.
d. Any weld that fails the air gun test must be remade.
e. Any weld that fails the pressure test must be completely remade.
f. The welder must sign a statement of compliance for each weld.
g. The statement of compliance must include the weld number, the material, the weld method and the welder’s signature.  
GR.9.1.4  Correction of Defects  
Defects in work must be corrected before moving on to the next event.  
GR.9.1.5  Second Chance  
Second Chance","All spherical rod ends and spherical bearings on the suspension and steering must be one of:
• Mounted in double shear
• Captured by having a screw/bolt head or washer with an outside diameter that is larger
than spherical bearing housing inside diameter."
16,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.1 state exactly? Answer with only the text of the rule and no other words.," Team members may only be on the Dynamic Test Facility for the purpose of conducting Dynamic
Test.
    ",The Steering Wheel must be mechanically connected to the front wheels
17,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.2 state exactly? Answer with only the text of the rule and no other words.,"3.2.2 Driving Axes Length  
The length of the driving axes must be between 350 mm and 400 mm.
    ",Electrically actuated steering of the front wheels is prohibited
18,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.3 state exactly? Answer with only the text of the rule and no other words.,"3.2.4
Draft Reports and Presentations
A draft of the vehicle design document and any other documents related to the vehicle design may be
required for inspection by the organizer.
    ","Steering systems must use a rigid mechanical linkage capable of tension and compression
loads for operation"
19,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.4 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, and other individuals associated with the competition must not receive compensation
for their work on the competition other than:
a. Reimbursement for actual, documented out of pocket expenses
b. Stipends to cover living expenses while at the competition site
     The amount of any stipend must be stated in the competition rules
    ","The steering system must have positive steering stops that prevent the steering linkages from
locking up (the inversion of a four bar linkage at one of the pivots). The stops:
a. Must prevent the wheels and tires from contacting suspension, bodywork, or Chassis
during the track events
b. May be placed on the uprights or on the rack"
20,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.5 state exactly? Answer with only the text of the rule and no other words.,"3.2.6: Include all costs for which the team or team members have liability. This includes:
a. All vehicle costs (purchase, maintenance, repair, etc.)
b. All other team costs (travel, meals, lodging, etc.)
c. Any other costs (such as competition entry, testing, etc.)
    ","Allowable steering system free play is limited to seven degrees (7°) total measured at the
steering wheel."
21,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.6 state exactly? Answer with only the text of the rule and no other words.,"3.2.7 Driving Dynamic Test - DDT    
a. The vehicle must successfully complete the Dynamic Test - DDT as described in this rule.    
b. If the vehicle does not pass the DDT, it will be immediately Retested until the vehicle 
passes or is declared a no run.    
c. The DDT will be conducted in a straight line on a paved, level surface, with no wheel brakes 
applied.    
The vehicle may use brakes to decelerate to a stop.    
d. The DDT will include acceleration and deceleration maneuvers.    
e. The vehicle will be required to pass a 360 degree tire wear inspection.    
f. The vehicle will be required to pass a naked engine inspection.    
g. The vehicle will be required to pass a moving underbody inspection.    
h. The vehicle will be required to pass a moving vehicle inspection.    
i. Any 235 points will result in a failure.    
V.4  Systems  
V.4.1  Powertrain  
The powertrain",The steering rack must be mechanically attached to the Chassis F.5.14
22,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.7 state exactly? Answer with only the text of the rule and no other words.,"3.2.8 Driving Length 
The driving length is the distance from the center of the rear wheel to the center of the front wheel.
    ","Joints between all components attaching the Steering Wheel to the steering rack must be
mechanical and be visible at Technical Inspection. Bonded joints without a mechanical backup
are not permitted."
23,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.8 state exactly? Answer with only the text of the rule and no other words.," Team members may inspect the vehicle at the event site and for the duration of the event,
including when the vehicle is being presented to the judges, and for 30 minutes before the
start of the dynamic events.
    ","Fasteners in the steering system are Critical Fasteners, see T.8.2"
24,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.9 state exactly? Answer with only the text of the rule and no other words.,"3.2.9 Driving Dynamics - Electrical System  
a. Reduce the risk of fire by limiting the current to the HV system to 100 A or less for 
at least 10 seconds, with the engine running or with the engine stopped and the vehicle 
moved  
b. Reduce the risk of fire by limiting the current to the HV system to 150 A or less for 
at least 10 seconds, with the engine running or with the engine stopped and the vehicle 
moved  
c. Reduce the risk of fire by limiting the current to the HV system to 200 A or less for 
at least 10 seconds, with the engine running or with the engine stopped and the vehicle 
moved  
d. Reduce the risk of fire by limiting the current to the HV system to 250 A or less for 
at least 10 seconds, with the engine running or with the engine stopped and the vehicle 
moved  
The driver must be able to stop the vehicle quickly in case of a fire  
The",Spherical rod ends and spherical bearings in the steering must meet V.3.1.5 above
25,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.2.10 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Area Fuel and Electrical Systems Inspection Forms must be submitted.
    ","Rear wheel steering may be used.
a. Rear wheel steering must incorporate mechanical stops to limit the range of angular
movement of the rear wheels to a maximum of six degrees (6°).
b. The team must provide the ability for the steering angle range to be verified at Technical
Inspection with a driver in the vehicle.
c. Rear wheel steering may be electrically actuated."
26,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect association with:
a. Any competition organizer or supporter
b. Any automotive industry company (automaker, supplier, component maker)
c. Any racing team or individual competing in the Formula SAE, Formula 1, IndyRacing.com, Drifting, Time Attack, 
Pro Racing, Off Road, Rock Bouncing, Autocross or Touring.
This includes but is not limited to: • Employment • Contracting • Volunteering • Sponsorship • Endorsement • 
Business Relationship • Advisory Relationship • Patronage • Alumni/Student Relationship • Competition 
Organizer/Event Organizer • Competition Official • Volunteer Official • Volunteer • Scorekeeper • 
Judge • Driver • Racer • Team Member • Sponsor • Donor • Alumni/Student Supporter • Business 
Supporter • Event Sponsor • Executive/Professional  Supporter • Executive/Professional Alumni/Student Supporter 
•","In any angular position, the Steering Wheel must meet T.1.4.4"
27,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.3.2 state exactly? Answer with only the text of the rule and no other words.,"3.3.2 Pressure Testing - Dynamic and Static  
a. Dynamic Pressure Testing - Dynamic Testing must be performed with the vehicle in a straight
line on a smooth, flat, paved surface with no obstacles.
b. Static Pressure Testing - Static Testing must be performed with the vehicle in a fixed position.
c. Dynamic Pressure Testing - Dynamic Testing must be performed with the vehicle in a straight
line on a smooth, flat, paved surface with no obstacles.
d. The vehicle must be in a straight line and traveling at a speed of 
90 km/h ± 10 km/h.
e. The vehicle must be in a straight line and traveling at a speed of 135 km/h ± 10 km/h.
f. Dynamic Pressure Testing - Dynamic Testing must be performed with the vehicle in a straight
line on a smooth, flat, paved surface with no obstacles.",The Steering Wheel must be attached to the column with a quick disconnect.
28,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.3.3 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors/employees are not allowed to work on the vehicle at any
competition site.
    ","The driver must be able to operate the quick disconnect while in the normal driving position
with gloves on."
29,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.3.3.4 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty, alumni, sponsors, donors, volunteers and other individuals associated with the competition 
must not receive any compensation for work done for the competition.
    ","The Steering Wheel must have a continuous perimeter that is near circular or near oval.
The outer perimeter profile may have some straight sections, but no concave sections. “H”,
“Figure 8”, or cutout wheels are not allowed."
30,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.1 state exactly? Answer with only the text of the rule and no other words.," Team members and Faculty Advisors must not be involved in any part of the competition except
for being a driver in the Grand Prize driving competition.
    ","Wheel Size
Wheels must be 203.2 mm (8.0 inches) or more in diameter."
31,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.2.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, sponsors, and other individuals related to the competition should not:
a. Attend any portion of the competition where teams are present, unless registered as a driver or
other official for that portion of the competition.
b. Visit any area of the dynamic area (EV, ET, STATIC) where vehicles are present, unless:
i. Officially assigned to do maintenance or inspection.
ii. Directly supervising drivers.
iii. Acting as a driver for another team.
c. Visit the Acceleration Alley area, unless officially assigned to do acceleration testing.
d. Attend any other area where vehicles are present, unless officially assigned to do maintenance or
inspection for that area.
e. Attend any other area where team members are present, unless officially assigned to do maintenance
or inspection for that area.
f. Attend any other area where drivers are present, unless officially assigned to do driver training or
inspection for that area.    
g. Attend any other area where mechanics are present, unless officially assigned to do maintenance or
inspection","Any wheel mounting system that uses a single retaining nut must incorporate a device to
retain the nut and the wheel if the nut loosens.
A second nut (jam nut) does not meet this requirement"
32,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.2.2 state exactly? Answer with only the text of the rule and no other words.,"35 minutes after the start of the Dynamic Performance event, the driver will be ejected from the vehicle
    ","Teams using modified lug bolts or custom designs must provide proof that Good Engineering
Practices have been followed in their design."
33,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.2.3 state exactly? Answer with only the text of the rule and no other words.,"3500 - 4000 mm
The maximum length of the vehicle is 3500 mm, measured along the centerline of the
chassis, with the front and rear overhangs included.
    ","If used, aluminum wheel nuts must be hard anodized and in pristine condition."
34,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3 state exactly? Answer with only the text of the rule and no other words.," Team Fabrication
• All parts of the vehicle must be constructed by the team.
• The team must fabricate all body panels, control arms, steering components, brake components,
suspension components, wheels and tires.
• The team may use prefabricated chassis components.
• The team may use prefabricated body panels.
• The team may use prefabricated monocoque or space frame components.
• The team may use prefabricated wings.
• The team may use prefabricated body panels and wings as a single unit.    
D.2.1  Stability of the Materials Used  
D.2.1.1  The team must demonstrate that the materials used in the vehicle meet the stability of materials 
requirements  
D.2.1.2  The team must demonstrate that the materials used in the vehicle do not deform significantly when 
subjected to loads of 144 MPa   (200 psi)  maximum bending and torsion.  
D.2.1.3  The team must demonstrate","Tires
Vehicles may have two types of tires, Dry and Wet"
35,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members may not start the dynamic tests unless they are in the driver’s seat with
the engine running.
    ","Dry Tires
a. The tires on the vehicle when it is presented for Technical Inspection.
b. May be any size or type, slicks or treaded."
36,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.2 state exactly? Answer with only the text of the rule and no other words.," Team members may work on the vehicle at the facility where the vehicle is maintained only:
a. When authorized by the Facility Manager or Technical Inspection Official
b. During the period specified on the Approved Work Schedule
c. On the approved work area specified on the Approved Work Schedule
d. When the vehicle is moved to or from the approved work area
    ","Wet Tires
Any size or type of treaded or grooved tire where:
• The tread pattern or grooves were molded in by the tire manufacturer, or were cut by
the tire manufacturer or appointed agent.
Any grooves that have been cut must have documented proof that this rule was met
• There is a minimum tread depth of 2.4 mm"
37,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.3 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any affiliation with any competing teams for the same
competition.
    ","Tire Set
a. All four Dry Tires and Wheels or all four Wet Tires and Wheels do not have to be
identical.
b. Once each tire set has been presented for Technical Inspection, any tire compound or
size, or wheel type or size must not be changed."
38,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.4 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Area, and the Off Track area will be closed to all vehicle entries.
    ","Tire Pressure
a. Tire Pressure must be in the range allowed by the manufacturer at all times.
b. Tire Pressure may be inspected at any time"
39,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.5 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Event Official will post the Dynamic Event Program on the Dynamic Event Website and inform the teams of any changes to the program.
    ","Requirements for All Tires
a. Teams must not perform any hand cutting, grooving or modification of the tires.
b. Tire warmers are not allowed.
c. No traction enhancers may be applied to the tires at any time onsite at the competition."
40,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.1 state exactly? Answer with only the text of the rule and no other words.," The vehicle must be a four wheel drive vehicle with a maximum of two wheels that are not part of the front
axle.
    ","Chassis
The fabricated structural assembly that supports all functional vehicle systems.
This assembly may be a single fabricated structure, multiple fabricated structures or a
combination of composite and welded structures."
41,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.2 state exactly? Answer with only the text of the rule and no other words.," The vehicle must be a single, complete vehicle, with all required systems functioning 
normally.
    ","Frame Member
A minimum representative single piece of uncut, continuous tubing."
42,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.3 state exactly? Answer with only the text of the rule and no other words.," Team members and supporters must not visit the competition site until:
a. The event organizers announce that the site is “Open”
b. The judges and inspectors are “On Site”
c. The specific competition period begins
d. The specific competition period ends
e. 30 minutes after the end of the competition period
    ","Monocoque
A type of Chassis where loads are supported by the external panels"
43,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.4 state exactly? Answer with only the text of the rule and no other words.," Team Members: 1200 minutes of work per team member per competition day  
Competition Days: 3 per competition  
Competition Hours: 8:00 AM to 6:00 PM local time  
Competition Duration: 3 days  
Driving Time: approximately 2 hours per team per competition day  
Driving Laps: approximately 20 per team for the entire competition  
Driving Distance: approximately 400 meters per team for the entire competition  
Driving Time per Lap: approximately 2 minutes per team per competition lap  
Driving Distance per Lap: approximately 100 meters per team per competition lap  
Accumulated Driving Time: approximately 20 minutes per team for the entire competition  
Accumulated Driving Distance: approximately 800 meters per team for the entire competition  
Driving Penalties: teams will be penalized for excessive speed, contact with another team, or
  endangering the track officials.  
Driving Penalty Value: 50 points per driving","Main Hoop
A roll bar located alongside or immediately aft of the driver’s torso."
44,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.5 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors must not be employed by the same organization
    ","Front Hoop
A roll bar located above the driver’s legs, in proximity to the steering wheel."
45,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.6 state exactly? Answer with only the text of the rule and no other words.," Team members may only be on the Dynamic Area (as defined in Rule 1.4) for the purpose of
inspection of their vehicle and/or tech presentation, and must not be on the Dynamic Area for any
other purpose.
    ","Roll Hoop(s)
Referring to both the Front Hoop AND the Main Hoop"
46,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.7 state exactly? Answer with only the text of the rule and no other words.,"3.1.4
Draft versions of the rules and questions may be posted on the website for informational purposes only and are not valid rules or questions.
    
D.2.1
The following rules are applicable to all teams in the competition:
• D.10 – Anti Cheating Provisions
• D.11 – Team Representation
• D.12 – Driver Age
• D.13 – Driver Nationality
• D.14 – Restrictions on Team Members
D.15  Submission Penalties
The penalties for unintentional violations of the submission requirements are as follows:
• D.15.1 – Violations of the Form Requirements
a. Loss of 30 minutes of dynamic testing for each violation
b. Disqualification of the vehicle for which the violation occurred
• D.15.2 – Violations of the Electrical System
a. Loss of 30 minutes of dynamic testing for each violation
b. Disqualification of the vehicle for which the violation occurred
• D.15.3 – Viol","Roll Hoop Bracing Supports
The structure from the lower end of the Roll Hoop Bracing back to the Roll Hoop(s)."
47,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.8 state exactly? Answer with only the text of the rule and no other words.,"3.0.3
Draft versions of the rule documents and individual comments and suggestions may 
be made publicly available on the website. Once published, the final version of the rule will 
be posted and the comments will be available.
    ","Front Bulkhead
A planar structure that provides protection for the driver’s feet."
48,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.9 state exactly? Answer with only the text of the rule and no other words.," Team members may only access the vehicle at the competition site, during scheduled work periods or tech
inspections.
    ","Impact Attenuator
A deformable, energy absorbing device located forward of the Front Bulkhead."
49,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.10 state exactly? Answer with only the text of the rule and no other words.," The vehicle must be 1400 mm wide maximum.
    ","Primary Structure
The combination of the following components:
• Front Bulkhead and Front Bulkhead Support
• Front Hoop, Main Hoop, Roll Hoop Braces and Supports
• Side Impact Structure
• (EV Only) Tractive System Protection and Rear Impact Protection
• Any Frame Members, guides, or supports that transfer load from the Driver Restraint
System"
50,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.11 state exactly? Answer with only the text of the rule and no other words.," Team members and students involved in the competition must not receive financial
support from any organization for competition related activities.
    ","Primary Structure Envelope
A volume enclosed by multiple tangent planes, each of which follows the exact outline of the
Primary Structure Frame Members"
51,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.12 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Area and the vehicle must be cleared of all personnel and items.
    ","Major Structure
The portion of the Chassis that lies inside the Primary Structure Envelope, excluding the Main
Hoop Bracing and the portion of the Main Hoop above a horizontal plane located at the top of
the Upper Side Impact Member or top of the Side Impact Zone."
52,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.13 state exactly? Answer with only the text of the rule and no other words.," Team members may work on the vehicle at the university or at other locations, but only at approved
competition sites.
    ","Rollover Protection Envelope
The Primary Structure plus a plane from the top of the Main Hoop to the top of the Front
Hoop, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent.
* If there are no Triangulated Structural members aft of the Main Hoop, the Rollover
Protection Envelope ends at the rear plane of the Main Hoop"
53,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.14 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the first drive event, the Dynamic Area must be clear of vehicles and people.
    ","Tire Surface Envelope
The volume enclosed by tangent lines between the Main Hoop and the outside edge of each
of the four tires."
54,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.15 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, and other individuals associated with the competition must not receive compensation, other than
reimbursement for actual, reasonable and documented expenses.
    ","Component Envelope
The area that is inside a plane from the top of the Main Hoop to the top of the Front
Bulkhead, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent. * see note in step F.1.13 above"
